elevation.surface.raised.hovered, "Hovered state of elevation.surface.raised"
elevation.surface.raised.pressed, "Pressed state of elevation.surface.raised"
elevation.surface.sunken, "A secondary background for the UI commonly used for grouping items, such as Jira cards in columns."
elevation.shadow.overflow, "Use to create a shadow when content scrolls under other content."
elevation.shadow.overflow.perimeter, "Use only when elevation.shadow.overflow is not technically feasible to implement. Pair with elevation.shadow.overflow.spread to replicate the overflow shadow."
elevation.shadow.overflow.spread, "Use only when elevation.shadow.overflow is not technically feasible to implement. Pair with elevation.shadow.overflow.perimeter to replicate the overflow shadow."
elevation.shadow.overlay, "Use for the box shadow of elements that sit on top of the UI, such as modals, dropdown menus, flags, and inline dialogs. Combine with elevation.surface.overlay

Also use for the box shadow of raised cards in a dragged state."
elevation.shadow.raised, "Use for the box shadow of raised card elements, such as Jira cards on a Kanban board. Combine with elevation.surface.raised"
opacity.disabled, "Apply to images when in a disabled state."
opacity.loading, "Apply to content that sits under a loading spinner."
utility.UNSAFE.textTransformUppercase, "Text transform uppercase token used for backwards compatibility between new and old theming solutions"
utility.UNSAFE.transparent, "Transparent token used for backwards compatibility between new and old theming solutions"
utility.elevation.surface.current, "A dynamic token that represents the current surface color set by a parent element. It defaults to the 'elevation.surface' token value."
border.radius.050, "Used for selection indicators, like tabs."
border.radius, "The default border radius."
border.radius.100, "Used for buttons and inputs."
border.radius.200, "Used for smaller cards."
border.radius.300, "Used for cards and larger containers."
border.radius.400, "Used for modals."
border.radius.circle, "Used for circular containers, like a rounded button."
border.width, "The default border width. Used for all borders."
border.width.0, "Used for zero width borders."
border.width.indicator, "Used for indicators like tab and menu selected states."
border.width.outline, "Used for focus, active or selected inputs."
space.0, "Equates to `0`. Use for resetting default spacing styles."
space.025, "Use for small and compact pieces of UI."
space.050, "Use for small and compact pieces of UI."
space.075, "Use for small and compact pieces of UI."
space.100, "Use for small and compact pieces of UI."
space.150, "Use for larger and less dense pieces of UI."
space.200, "Use for larger and less dense pieces of UI."
space.250, "Use for larger and less dense pieces of UI."
space.300, "Use for larger and less dense pieces of UI."
space.400, "Use for the largest pieces of UI and for layout elements."
space.500, "Use for the largest pieces of UI and for layout elements."
space.600, "Use for the largest pieces of UI and for layout elements."
space.800, "Use for the largest pieces of UI and for layout elements."
space.1000, "Use for the largest pieces of UI and for layout elements."
space.negative.025, "Use to negate parent whitespace or overlap small pieces of UI."
space.negative.050, "Use to negate parent whitespace or overlap small pieces of UI."
space.negative.075, "Use to negate parent whitespace or overlap small pieces of UI."
space.negative.100, "Use to negate parent whitespace or overlap small pieces of UI."
space.negative.150, "Use to negate parent whitespace or overlap larger pieces of UI."
space.negative.200, "Use to negate parent whitespace or overlap larger pieces of UI."
space.negative.250, "Use to negate parent whitespace or overlap larger pieces of UI."
space.negative.300, "Use to negate parent whitespace or overlap larger pieces of UI."
space.negative.400, "Use to negate parent whitespace or overlap the largest pieces of UI."
font.heading.xxlarge, "ALPHA - Use with caution. Use for main headings."
font.heading.xlarge, "ALPHA - Use with caution. Use for main headings."
font.heading.large, "ALPHA - Use with caution. Use for main headings."
font.heading.medium, "ALPHA - Use with caution. Use for less important headings."
font.heading.small, "ALPHA - Use with caution. Use for less important headings."
font.heading.xsmall, "ALPHA - Use with caution. Use for smaller headings."
font.heading.xxsmall, "ALPHA - Use with caution. Smallest heading size available."
font.body.large, "ALPHA - Use with caution. Larger body font or default body font for text rich experiences."
font.body, "ALPHA - Use with caution. The default body font."
font.body.small, "ALPHA - Use with caution. Smaller body font."
font.ui, "ALPHA - Use with caution. Single-line non-wrapping text like that in a button."
font.ui.small, "ALPHA - Use with caution. Single-line non-wrapping supporting text like that in a smaller label."
font.code, "ALPHA - Use with caution. Used for monospace and code."
font.weight.bold, "Helpful guidance goes here"
font.weight.medium, "Helpful guidance goes here"
font.weight.regular, "Helpful guidance goes here"
font.weight.semibold, "Helpful guidance goes here"
